Emoji,Unicode Name,Descriptions
⚽,Soccer Ball,playing football match; black white ball; world cup sport; kicking the ball; team athletic game; field and goals; professional soccer; sports equipment; exercise and fun; global popular sport; soccer; ball; football; match; black; white; world; cup; sport; kicking; team; game; field; goals; professional; sports; exercise; fun; global; soccer ball; football ball; match ball; black ball; white ball; world ball; cup ball; sport ball; kicking ball; team ball; game ball; field ball; goals ball; soccer match; soccer team; soccer game; soccer field; soccer goals; soccer sport; soccer world
🎾,Tennis,yellow fuzzy ball; racket and court; playing a match; serve and volley; professional tennis tour; sports exercise; hitting the ball; net and baseline; grand slam game; athletic hobby; tennis; ball; yellow; fuzzy; racket; court; match; serve; volley; tour; sports; exercise; hitting; net; baseline; game; grand; slam; hobby; tennis ball; tennis racket; tennis court; tennis match; tennis serve; tennis volley; tennis tour; tennis sports; tennis game; tennis hobby; yellow ball; fuzzy ball; racket court; racket ball; court ball; match tennis; serve tennis; volley tennis; game tennis; slam tennis
🚲,Bicycle,riding a bike; cycling for health; two wheel transport; pedaling on road; outdoor exercise; eco friendly travel; bike path ride; mountain or road; human powered vehicle; wheels and gears; bike; bicycle; riding; cycling; health; transport; road; outdoor; exercise; travel; path; mountain; vehicle; wheels; gears; bike ride; bike cycling; bike health; bike transport; bike road; bike outdoor; bike exercise; bike travel; bike path; bike mountain; bike vehicle; bike wheels; riding bike; cycling bike; road bike; mountain bike; travel bike; exercise bike; health bike; transport bike; outdoor bike; path bike
🚂,Locomotive,old steam train; railway transport; engine on tracks; historical travel; smoke from funnel; heavy metal train; long distance rail; moving on iron; transport history; freight and passengers; train; locomotive; steam; railway; transport; engine; tracks; historical; travel; smoke; funnel; metal; rail; iron; history; freight; passengers; steam train; railway train; engine train; tracks train; travel train; metal train; rail train; history train; train steam; train engine; train tracks; train rail; train history; locomotive train; locomotive steam; locomotive engine; locomotive railway; locomotive travel; engine locomotive; steam locomotive; railway locomotive
🛳️,Passenger Ship,sailing on ocean; luxury cruise ship; travel by sea; large boat deck; water transport; vacation on water; maritime vessel; giant ship hull; floating hotel; crossing the sea; ship; boat; passenger; sailing; ocean; luxury; cruise; travel; deck; water; transport; vacation; maritime; vessel; hull; hotel; sea; ship boat; ship passenger; ship sailing; ship ocean; ship luxury; ship cruise; ship travel; ship water; ship transport; ship vacation; ship sea; boat ship; boat passenger; boat sailing; boat ocean; boat cruise; boat travel; boat water; boat transport; boat vacation; boat sea
📱,Mobile Phone,using a smartphone; digital communication; touch screen device; calling and texting; modern technology; handheld computer; social media tool; mobile app usage; electronic gadget; pocket phone; phone; mobile; smartphone; digital; device; calling; texting; modern; technology; computer; tool; app; usage; gadget; pocket; mobile phone; smartphone phone; digital phone; device phone; modern phone; technology phone; computer phone; tool phone; app phone; gadget phone; pocket phone; phone mobile; phone digital; phone device; phone modern; phone technology; phone computer; phone app; phone gadget; smartphone mobile; digital mobile
🔋,Battery,power and energy; electrical storage; charging the device; low battery life; full energy cell; portable power; alkaline battery; electronic energy; rechargeable source; green energy bar; battery; power; energy; electrical; storage; charging; device; life; cell; portable; alkaline; electronic; rechargeable; source; green; bar; battery power; battery energy; battery life; battery cell; battery device; battery storage; battery charging; power battery; energy battery; life battery; cell battery; device battery; storage battery; charging battery; battery electronic; battery portable; battery source; rechargeable battery; alkaline battery; green battery
🔌,Electric Plug,connecting to power; electrical outlet; wall plug wire; charging cable; electricity source; energy connection; powering the machine; hardware cord; socket and plug; turning it on; plug; electric; power; outlet; wall; wire; charging; cable; electricity; source; energy; connection; machine; hardware; cord; socket; electric plug; power plug; outlet plug; wall plug; wire plug; charging plug; cable plug; electricity plug; source plug; energy plug; connection plug; hardware plug; cord plug; socket plug; plug electric; plug power; plug outlet; plug wire; plug cable; plug hardware; plug cord
🔨,Hammer,building with tools; metal hammer head; driving a nail; construction work; repair and fix; wood working tool; heavy hand tool; renovation project; tool for home; manual labor; hammer; tool; building; metal; head; nail; construction; work; repair; fix; wood; hand; renovation; project; home; labor; hammer tool; building hammer; metal hammer; nail hammer; construction hammer; work hammer; repair hammer; fix hammer; wood hammer; hand hammer; home hammer; hammer head; hammer nail; hammer metal; hammer construction; hammer wood; hammer work; hammer home; hammer renovation; tool hammer; metal head
✂️,Scissors,cutting paper; sharp metal blades; sewing and craft; haircutting tool; office supplies; snipping with tool; tailoring clothes; creative hobby; school project tool; pair of shears; scissors; cutting; paper; sharp; metal; blades; sewing; craft; tool; office; supplies; snipping; tailoring; hobby; project; shears; cutting scissors; paper scissors; metal scissors; sharp scissors; sewing scissors; craft scissors; office scissors; project scissors; scissors paper; scissors metal; scissors sharp; scissors cutting; scissors tool; scissors craft; sharp blades; metal blades; cutting paper; sewing tool; craft tool; office tool; hobby tool; project tool; pair scissors
💊,Pill,taking medicine; medical capsule; health and wellness; prescription drug; pharmacy item; doctor's advice; chemical medicine; small drug pill; feeling better soon; healthcare treatment; pill; medicine; medical; capsule; health; wellness; drug; pharmacy; advice; chemical; small; treatment; pill medicine; medical pill; capsule pill; health pill; drug pill; pharmacy pill; treatment pill; medicine pill; pill capsule; pill drug; pill medical; pill health; pill pharmacy; pill treatment; medical capsule; health wellness; pharmacy item; drug capsule; medicine capsule; medical treatment; health treatment; small pill; drug treatment; pill pharmacy; pill healthcare; prescription pill; advice pill
🎈,Balloon,floating party decoration; air filled balloon; red round shape; child's birthday; flying in air; celebration symbol; festive rubber toy; light and airy; party supply; string and balloon; balloon; party; decoration; air; red; round; shape; child; birthday; flying; celebration; symbol; festive; rubber; toy; light; supply; string; balloon party; party balloon; air balloon; red balloon; shape balloon; child balloon; birthday balloon; flying balloon; celebration balloon; symbol balloon; festive balloon; toy balloon; light balloon; string balloon; decoration balloon; balloon air; balloon red; balloon shape; balloon birthday; balloon flying; balloon symbol
🕯️,Candle,burning wax light; soft candle flame; romantic lighting; religious vigil; scent and aroma; melting candle wax; warm glowing light; emergency light; old fashioned lamp; peaceful ambiance; candle; light; wax; flame; soft; romantic; religious; vigil; scent; aroma; melting; warm; glowing; emergency; lamp; peaceful; ambiance; candle light; wax candle; flame candle; soft candle; romantic candle; melting candle; warm candle; glowing candle; light candle; candle wax; candle flame; candle melting; candle warm; candle glow; candle lamp; candle romantic; candle peaceful; burning candle; light wax; soft flame; warm light; glow light
📚,Books,stack of reading; library and study; learning and education; hardback book covers; knowledge source; student life; piles of literature; academic research; love for reading; school supplies; books; reading; library; study; learning; education; hardback; covers; knowledge; source; student; life; literature; research; supplies; books reading; reading books; library books; study books; learning books; education books; knowledge books; student books; research books; books library; books study; books education; books knowledge; books student; books research; stack books; piles books; school books; read books; learn books; books learn; books stack; books piles
✏️,Pencil,writing and drawing; graphite lead tip; yellow wooden pencil; sketching a draft; school stationary; erasable writing tool; creative art tool; taking notes; office supply; hand writing; pencil; writing; drawing; graphite; lead; tip; yellow; wooden; sketching; draft; school; tool; creative; art; notes; office; hand; writing pencil; drawing pencil; yellow pencil; wooden pencil; school pencil; art pencil; tool pencil; office pencil; pencil writing; pencil drawing; pencil school; pencil tool; pencil art; pencil office; pencil yellow; pencil wooden; pencil graphite; pencil lead; graphite pencil; lead pencil; yellow wood
📏,Straight Ruler,measuring length; school math tool; straight edge line; inches and cm; drawing accurate lines; construction measure; geometry class; plastic or wood; precision tool; measurement scale; ruler; straight; measuring; length; school; math; tool; edge; line; inches; cm; drawing; construction; geometry; plastic; wood; precision; scale; ruler tool; straight ruler; measuring ruler; school ruler; math ruler; edge ruler; line ruler; drawing ruler; construction ruler; geometry ruler; precision ruler; ruler school; ruler tool; ruler math; ruler length; ruler straight; ruler drawing; ruler construction; ruler geometry; measurement ruler
🔬,Microscope,scientific research; looking at cells; biology lab tool; magnification lens; discovery and study; medical testing; small detail view; laboratory equipment; science project; expert analysis; microscope; science; research; cells; biology; lab; tool; lens; discovery; study; medical; testing; laboratory; equipment; project; analysis; microscope science; science microscope; research microscope; biology microscope; lab microscope; tool microscope; lens microscope; study microscope; medical microscope; testing microscope; microscope lab; microscope tool; microscope lens; microscope research; microscope study; microscope biology; microscope medical; microscope project
🔭,Telescope,looking at stars; astronomy hobby; outer space view; night sky lens; planet watching; distant object view; observatory tool; science of stars; lens and tripod; sky exploration; telescope; stars; astronomy; hobby; space; view; sky; lens; planet; object; observatory; tool; science; tripod; exploration; telescope stars; stars telescope; astronomy telescope; space telescope; sky telescope; planet telescope; lens telescope; tool telescope; exploration telescope; telescope astronomy; telescope sky; telescope planet; telescope lens; telescope tool; telescope exploration; telescope stars; sky watch; stars watch; planet watch
🧬,DNA,genetic code; biological helix; science and life; hereditary traits; molecule structure; research medicine; ancestry and genes; life sciences; complex spiral; double helix; dna; genetic; code; biological; helix; science; life; traits; molecule; structure; research; medicine; ancestry; genes; spiral; double; dna science; science dna; genetic dna; code dna; helix dna; molecule dna; structure dna; genes dna; research dna; medicine dna; dna genetic; dna code; dna helix; dna molecule; dna structure; dna genes; dna spiral; double helix dna; biological dna; medical dna; ancestry dna; research science
🧪,Test Tube,chemistry experiment; laboratory glass; liquid chemicals; scientific testing; mixing solutions; science class; medical research; clear glass tube; chemical reaction; lab worker; tube; test; chemistry; experiment; laboratory; glass; liquid; chemicals; testing; mixing; solutions; science; medical; research; reaction; lab; test tube; chemistry tube; experiment tube; laboratory tube; glass tube; liquid tube; chemicals tube; testing tube; science tube; medical tube; research tube; tube chemistry; tube laboratory; tube science; tube medical; tube research; tube testing; tube glass; tube liquid; tube experiment; test chemistry
🌡️,Thermometer,measuring temperature; fever and health; weather heat; glass tube measure; degree of heat; medical checkup; cold or hot; mercury or digital; sensing the temp; climate tool; thermometer; temperature; measuring; fever; health; weather; heat; glass; tube; degree; medical; cold; hot; mercury; digital; sensing; climate; tool; temperature thermometer; fever thermometer; health thermometer; weather thermometer; heat thermometer; medical thermometer; cold thermometer; hot thermometer; digital thermometer; climate thermometer; thermometer temperature; thermometer weather; thermometer medical; thermometer digital; thermometer heat
🧹,Broom,cleaning the floor; sweeping up dust; wooden handle; household chore; bristles and dirt; tidy up house; witch's flight; manual cleaning; sweeping the room; cleaning tool; broom; cleaning; floor; sweeping; dust; wooden; handle; chore; bristles; dirt; tidy; house; witch; flight; manual; room; tool; broom cleaning; cleaning broom; sweeping broom; dust broom; floor broom; wood broom; handle broom; house broom; witch broom; tool broom; broom floor; broom sweeping; broom dust; broom wood; broom house; broom tool; broom manual; broom witch; sweep floor; sweep room; clean floor
🧺,Basket,woven storage; laundry basket; picnic food carrier; organizing home; wicker material; carrying items; shopping basket; farm harvest; holding goods; handle and weave; basket; storage; laundry; picnic; food; carrier; organizing; home; wicker; material; carrying; items; shopping; farm; harvest; goods; handle; weave; basket laundry; laundry basket; picnic basket; food basket; organizing basket; home basket; wicker basket; shopping basket; farm basket; harvest basket; basket food; basket home; basket storage; basket laundry; basket picnic; basket wicker; basket shopping; basket farm
🧼,Soap,washing hands; bubbles and foam; cleaning with water; hygiene product; bar of soap; slippery and wet; bathroom supply; staying clean; scented soap; germ killer; soap; washing; hands; bubbles; foam; cleaning; water; hygiene; bar; slippery; wet; bathroom; supply; clean; scented; germ; killer; soap wash; washing soap; hands soap; bubbles soap; foam soap; cleaning soap; water soap; hygiene soap; bar soap; bathroom soap; clean soap; soap bubbles; soap foam; soap water; soap hygiene; soap bar; soap bathroom; soap clean; soap washing; soap hands; liquid soap; hand soap
🪒,Razor,shaving facial hair; sharp blade tool; personal grooming; barber shop; smooth skin; cutting hair; metal safety razor; bathroom accessory; grooming routine; sharp edge; razor; shaving; hair; sharp; blade; tool; grooming; barber; shop; smooth; skin; cutting; metal; safety; bathroom; accessory; routine; edge; razor shaving; shaving razor; hair razor; sharp razor; blade razor; tool razor; grooming razor; barber razor; safety razor; razor blade; razor sharp; razor hair; razor tool; razor barber; razor grooming; razor safety; razor bathroom; sharp blade; shave hair; shave face; grooming tool
🚪,Door,entering the room; wooden door frame; portal to house; opening or closing; privacy and entry; exit sign; handle and hinges; indoor entrance; passage way; barrier or gate; door; room; wooden; frame; portal; house; opening; closing; privacy; entry; exit; sign; handle; hinges; indoor; entrance; passage; gate; door room; door house; door opening; door closing; door exit; door entry; door frame; door handle; house door; room door; wooden door; exit door; entry door; entrance door; open door; closed door; door sign; door hinges; door passage; door gate; portal door
🛏️,Bed,sleeping at night; furniture for rest; mattress and pillow; bedroom item; lying down; soft bed sheets; dreaming in bed; comfortable sleep; place to rest; furniture set; bed; sleeping; night; furniture; rest; mattress; pillow; bedroom; item; lying; soft; sheets; dreaming; sleep; bed sleep; sleeping bed; night bed; rest bed; mattress bed; pillow bed; bedroom bed; bed mattress; bed pillow; bed sheets; bed sleep; bed dreaming; bed bedroom; bed furniture; bed rest; bed night; soft bed; cozy bed; sleep tight; go to bed; bed time; bed mattress; bed pillow; bedroom furniture; rest sleep
🛋️,Couch and Lamp,sitting in livingroom; comfortable sofa; relaxing at home; interior design; home decor; watching tv; soft cushions; lounge furniture; reading light; cozy corner; couch; sofa; sitting; livingroom; comfortable; relaxing; home; design; decor; tv; cushions; lounge; furniture; light; corner; couch sofa; sofa couch; sitting couch; livingroom couch; relaxing couch; home couch; design couch; decor couch; furniture couch; cushions couch; lounge couch; couch livingroom; couch home; couch relaxing; couch design; couch furniture; couch sitting; sofa relaxing; sofa livingroom; sofa home; lamp couch
🚽,Toilet,bathroom fixture; plumbing and water; restroom facility; porcelain seat; daily hygiene; household item; flushing water; sanitation; toilet bowl; private room; toilet; bathroom; plumbing; water; restroom; facility; porcelain; seat; hygiene; item; flushing; sanitation; bowl; room; toilet bathroom; toilet water; toilet restroom; toilet seat; toilet hygiene; toilet flushing; toilet bowl; toilet sanitation; bathroom toilet; restroom toilet; seat toilet; flushing toilet; bowl toilet; sanitation toilet; toilet plumbing; porcelain toilet; hygiene toilet; water toilet; toilet facility; toilet item; flushing water
🚿,Shower,washing body; falling water drops; bathroom hygiene; cleaning yourself; hot water stream; shower head; daily routine; refreshing bath; bathroom plumbing; getting wet; shower; washing; body; water; drops; bathroom; hygiene; cleaning; hot; stream; head; routine; bath; plumbing; wet; shower wash; washing shower; water shower; bathroom shower; hygiene shower; hot shower; routine shower; bath shower; wet shower; shower head; shower water; shower hot; shower bath; shower routine; shower bathroom; shower washing; shower stream; hot water shower; shower bathroom; clean shower; wash body
🛁,Bathtub,taking a bath; soaking in water; bubbles and soap; bathroom relaxation; porcelain tub; deep water wash; cleaning time; home spa; warm bath; relaxation spot; bath; bathtub; soaking; water; bubbles; soap; bathroom; relaxation; tub; wash; cleaning; spa; warm; spot; bath water; water bath; bubbles bath; soap bath; bathroom bath; relaxation bath; tub bath; wash bath; cleaning bath; warm bath; bathtub water; bathtub bubbles; bathtub soap; bathtub bathroom; bathtub tub; bathtub wash; bath soak; soaking bath; bubble bath; soap bath; water soak; warm water bath; clean bath
🧸,Teddy Bear,soft toy bear; child's plushie; cuddly stuffed animal; nursery decor; comfort toy; brown fur bear; childhood memory; huggable toy; cute gift; soft toy; teddy; bear; toy; child; plushie; cuddly; animal; nursery; decor; comfort; brown; fur; memory; huggable; gift; teddy bear; bear teddy; toy teddy; bear toy; child teddy; plushie teddy; cuddly teddy; animal teddy; nursery teddy; brown teddy; bear child; bear toy; bear cuddly; bear brown; bear fur; cuddly toy; soft toy; plush toy; teddy toy; teddy gift; teddy cuddly; teddy brown; teddy child; teddy animal
🖼️,Framed Picture,art on wall; painting in frame; home decoration; visual art; museum piece; decorative item; hanging artwork; picture frame; artistic expression; wall decor; frame; picture; art; wall; painting; decoration; visual; museum; item; hanging; artwork; expression; decor; framed art; art frame; picture frame; wall art; painting frame; decoration frame; museum art; artwork frame; frame art; frame picture; frame wall; frame painting; picture wall; picture art; picture painting; picture decor; wall painting; wall decoration; art wall; museum piece; hanging art; decorative frame
🗺️,World Map,planning a trip; paper map; geography study; continents and oceans; navigation tool; global travel; charting a path; world view; locations and borders; explorer's tool; map; world; trip; geography; study; continents; oceans; navigation; tool; travel; path; view; locations; borders; explorer; world map; trip map; geography map; navigation map; travel map; path map; map world; map trip; map navigation; map travel; map geography; map study; map path; map view; map locations; paper map; world travel; world geography; map world; study map; explorer map
🧭,Compass,finding north; navigation instrument; hiking gear; directional tool; needle and dial; explorer's kit; orienting oneself; magnetic compass; path finding; guide for travel; compass; navigation; north; instrument; hiking; gear; directional; tool; needle; dial; explorer; orienting; magnetic; path; guide; travel; navigation compass; north compass; instrument compass; hiking compass; gear compass; directional compass; tool compass; needle compass; dial compass; compass north; compass navigation; compass tool; compass gear; compass travel; compass guide; magnetic compass; explorer compass; travel compass
🕰️,Mantelpiece Clock,antique time; living room decor; ticking clock; old fashioned; keeping time; classic timepiece; shelf ornament; mechanical clock; vintage style; hour and minute; clock; time; antique; decor; ticking; fashioned; classic; timepiece; shelf; mechanical; vintage; style; hour; minute; antique clock; ticking clock; classic clock; vintage clock; clock time; clock antique; clock ticking; clock classic; clock vintage; clock shelf; clock mechanical; clock style; time clock; ticking time; classic time; vintage time; antique time; old clock; mantel clock; shelf clock
⌛,Hourglass Done,time is up; sand glass; waiting over; period of time; ancient timer; gravity and sand; measured time; counting down; end of task; temporal symbol; hourglass; time; sand; glass; waiting; period; ancient; timer; gravity; measured; counting; end; task; symbol; sand hourglass; glass hourglass; time hourglass; timer hourglass; sand glass; hourglass sand; hourglass time; hourglass timer; hourglass end; hourglass glass; time glass; sand timer; glass timer; waiting time; end time; task time; time sand; gravity sand; ancient timer
📡,Satellite Antenna,receiving signals; space communication; dish antenna; tv broadcast; technology link; wireless data; signal transmission; modern tech; communication tower; radio waves; antenna; satellite; signals; communication; dish; space; tv; broadcast; technology; link; wireless; data; transmission; tower; waves; satellite antenna; dish antenna; signal antenna; communication antenna; space antenna; tv antenna; antenna dish; antenna signals; antenna communication; antenna satellite; antenna space; antenna link; antenna waves; satellite dish; satellite signal; satellite communication; signal data
🔦,Flashlight,light in dark; battery torch; portable lamp; beam of light; emergency light; search tool; handheld light; night light; camping gear; bright beam; flashlight; light; torch; battery; portable; lamp; beam; emergency; search; tool; handheld; night; camping; gear; bright; light flashlight; torch flashlight; beam flashlight; emergency flashlight; night flashlight; camping flashlight; flashlight light; flashlight torch; flashlight beam; flashlight battery; flashlight search; flashlight tool; flashlight handheld; flashlight camping; flashlight bright; bright light; light beam; emergency light; night light; handheld light
🏮,Red Paper Lantern,traditional lamp; festive light; asian culture; celebration decor; paper lantern; soft glow; holiday light; decorative lamp; red light; cultural symbol; lantern; red; paper; traditional; lamp; festive; light; asian; culture; celebration; decor; glow; holiday; symbol; red lantern; paper lantern; red paper; lantern red; lantern paper; lantern lamp; lantern light; lantern festive; lantern holiday; red lamp; red light; paper lamp; festive light; traditional lantern; cultural lantern; asian lantern; holiday lantern; celebration lantern; light red; red light; paper red
📂,Open File Folder,organizing papers; digital files; storage system; project documents; office work; filing system; holding data; data folder; work organization; keeping records; folder; file; open; organizing; papers; digital; storage; project; documents; office; work; filing; data; records; open folder; file folder; open file; organizing folder; digital folder; project folder; documents folder; office folder; work folder; records folder; folder open; folder file; folder papers; folder data; folder storage; file open; open papers; file records; data folder; file data; folder organization
📑,Bookmark Tabs,marking the page; organization tool; reading helper; sticky tabs; categorizing info; document tags; finding spot; library tool; study aid; tab markers; tabs; bookmark; marking; page; organization; tool; reading; helper; sticky; document; tags; library; study; markers; bookmark tabs; tab bookmark; page bookmark; tool bookmark; document bookmark; tabs bookmark; tabs page; tabs tool; tabs document; marking tabs; page marking; document organization; tool organization; organization tool; tab markers; sticky tabs; bookmark tool; bookmark page; bookmark document; study tabs; library tabs
📓,Notebook,writing notes; journal entry; student paper; daily diary; spiral bound; office supply; taking minutes; scribbling ideas; record keeping; blank pages; notebook; notes; writing; journal; student; paper; diary; spiral; office; supply; minutes; ideas; records; blank; pages; writing notebook; notes notebook; journal notebook; student notebook; paper notebook; diary notebook; office notebook; supply notebook; notebook writing; notebook notes; notebook journal; notebook paper; notebook diary; notebook office; notebook blank; journal entry; take notes; write notes; notebook pages
🖋️,Fountain Pen,ink writing; elegant pen; calligraphy tool; professional signature; metal nib; fancy stationary; writing letters; ink flow; high quality pen; artist tool; pen; fountain; ink; writing; elegant; calligraphy; tool; professional; signature; metal; nib; fancy; stationary; letters; flow; quality; artist; fountain pen; ink pen; writing pen; elegant pen; calligraphy pen; professional pen; signature pen; metal pen; fancy pen; pen ink; pen writing; pen fountain; pen elegant; pen calligraphy; pen signature; fountain ink; elegant writing; professional signature; ink flow; nib pen; pen nib
