Emoji,Unicode Name,Description
🍰,Shortcake,cake dessert
❄️,Snowflake,cold snowflake
🙏,Folded Hands,spiritual
⚽,Soccer Ball,kicking ball
👍,Thumbs Up,cool
🛳️,Passenger Ship,giant ship hull
💊,Pill,pill medicine
🗺️,World Map,map path
🧭,Compass,north compass
🏠,House,space home
😴,Sleeping Face,tired face
🌡️,Thermometer,hot
❤️,Red Heart,sending you my love
🤔,Thinking Face,is that true
🛏️,Bed,bed mattress
✨,Sparkles,glittering stars
⚽,Soccer Ball,game ball
✈️,Airplane,passenger
☕,Hot Beverage,cozy drink time
🙄,Face with Rolling Eyes,serious face
🧪,Test Tube,testing
🖋️,Fountain Pen,artist
🤡,Clown Face,silly
🎈,Balloon,birthday
💀,Skull,bony skull face
🎾,Tennis,ball
💔,Broken Heart,shattered love
🙏,Folded Hands,thanks
💊,Pill,capsule pill
🚲,Bicycle,transport bike
🧬,DNA,genes
🧸,Teddy Bear,brown fur bear
🙏,Folded Hands,deep appreciation and thanks
🔨,Hammer,labor
🚗,Automobile,driving car
🕰️,Mantelpiece Clock,shelf
🔑,Key,house key
📍,Round Pushpin,mark here
🐱,Cat Face,kitten
✈️,Airplane,trip airplane
🍷,Wine Glass,drink wine
🥪,Sandwich,picnic
📸,Camera with Flash,bright
⚽,Soccer Ball,field and goals
❤️,Red Heart,big hugs
🔒,Locked,safety
⌚,Watch,ticking time piece
🥗,Green Salad,bowl
🎾,Tennis,hobby
🔥,Fire,looking spicy
🚀,Rocket,skyrocketing results
🧺,Basket,carrier
📱,Mobile Phone,phone computer
😴,Sleeping Face,need nap
🚗,Automobile,car traffic
🥗,Green Salad,dressing salad
😊,Smiling Face with Smiling Eyes,smiling at the world
📑,Bookmark Tabs,finding spot
💻,Laptop,browsing
✏️,Pencil,yellow wooden pencil
🚂,Locomotive,travel train
✏️,Pencil,notes
🕯️,Candle,romantic candle
🍦,Soft Serve,melting in the sun
🚪,Door,portal door
🔑,Key,symbolic metal key
⌛,Hourglass Done,sand glass
👍,Thumbs Up,well done
🛳️,Passenger Ship,boat water
🗺️,World Map,continents
📡,Satellite Antenna,wireless data
🎸,Guitar,time
🔔,Bell,dinner is ready
🖋️,Fountain Pen,pen ink
✂️,Scissors,pair scissors
⚽,Soccer Ball,soccer
🧹,Broom,wooden
🚽,Toilet,sanitation
🙏,Folded Hands,thankful soul
🌈,Rainbow,rainbow
📑,Bookmark Tabs,document
🤔,Thinking Face,curious George
✏️,Pencil,pencil art
🍕,Pizza,crust pizza
🧺,Basket,harvest basket
🏮,Red Paper Lantern,celebration decor
🤔,Thinking Face,brain teaser
☀️,Sun,yellow sun
🛁,Bathtub,warm
🤡,Clown Face,joke face
🚪,Door,portal
😴,Sleeping Face,nap face
📸,Camera with Flash,photo shot
🔑,Key,success
🍷,Wine Glass,red wine drink
🪒,Razor,personal grooming
💀,Skull,tired as hell
💊,Pill,health
🎈,Balloon,flying balloon
🍕,Pizza,delicious pizza
🖼️,Framed Picture,picture frame
✈️,Airplane,runway
✂️,Scissors,school project tool
🪒,Razor,tool
🤔,Thinking Face,what is the catch
🧪,Test Tube,laboratory tube
🌧️,Cloud with Rain,cold rainy weather
🔥,Fire,absolute heat
📑,Bookmark Tabs,reading helper
📸,Camera with Flash,lens shutter
😭,Loudly Crying Face,heartbroken and devastated
🤔,Thinking Face,let me see
🧺,Basket,basket shopping
🏀,Basketball,scoring
🍦,Soft Serve,dairy treat
🐶,Dog Face,dog breed
📍,Round Pushpin,fixed point
⌚,Watch,wrist watch
💊,Pill,wellness
🐱,Cat Face,cat pet
🌡️,Thermometer,digital thermometer
🔔,Bell,metal
🤔,Thinking Face,analyzing the situation
🚗,Automobile,garage car
📈,Chart Increasing,market
📡,Satellite Antenna,antenna space
👍,Thumbs Up,yes
🧭,Compass,hiking
🍷,Wine Glass,red wine glass
🤔,Thinking Face,looking for answers
⌛,Hourglass Done,temporal symbol
⌛,Hourglass Done,time is up
🍦,Soft Serve,snack
✈️,Airplane,sky flight
🙄,Face with Rolling Eyes,frustration
✈️,Airplane,airplane
🔥,Fire,blazing fire and heat
🧪,Test Tube,reaction
☀️,Sun,rays
🙄,Face with Rolling Eyes,eye rolling
📏,Straight Ruler,geometry
☕,Hot Beverage,cocoa
🍺,Beer Mug,glass of ale
🖋️,Fountain Pen,elegant pen
🕯️,Candle,glow light
🛏️,Bed,rest
🌍,Globe Showing Europe-Africa,nature globe
🔌,Electric Plug,connection
🍺,Beer Mug,weekend party drink
🎸,Guitar,musician at work
🍰,Shortcake,baked
🙄,Face with Rolling Eyes,serious
🚗,Automobile,sedan car
📓,Notebook,student notebook
🌍,Globe Showing Europe-Africa,geography and maps
📈,Chart Increasing,improving daily
😭,Loudly Crying Face,emotional breakdown
✂️,Scissors,scissors tool
🌈,Rainbow,luck magic
🍦,Soft Serve,sweet summer treat
🍔,Hamburger,meal burger
🥳,Partying Face,win
🏀,Basketball,basketball orange
📱,Mobile Phone,mobile phone
🥗,Green Salad,spinach salad
🛋️,Couch and Lamp,couch home
✏️,Pencil,yellow
🤔,Thinking Face,considering all the options
📂,Open File Folder,work folder
🍰,Shortcake,strawberry and cream
🙏,Folded Hands,thank you kindly
🔬,Microscope,microscope tool
🏀,Basketball,game
🍔,Hamburger,tasty sandwich
🔨,Hammer,fix
🧼,Soap,cleaning with water
🔒,Locked,bolt
🔌,Electric Plug,energy plug
😎,Smiling Face with Sunglasses,sunny day at beach
🕯️,Candle,flame candle
🚿,Shower,bathroom plumbing
🖋️,Fountain Pen,tool
📓,Notebook,daily diary
🚿,Shower,shower routine
🛏️,Bed,dreaming
🎸,Guitar,strumming
🧼,Soap,bubbles soap
🧪,Test Tube,mixing solutions
🖼️,Framed Picture,picture
💊,Pill,health treatment
☕,Hot Beverage,liquid hot
❄️,Snowflake,ice
🗺️,World Map,paper map
🥗,Green Salad,greens salad
🍔,Hamburger,hungry burger
🌧️,Cloud with Rain,sky cloud
🧸,Teddy Bear,plush toy
🚗,Automobile,car driving
🔦,Flashlight,battery torch
👍,Thumbs Up,thumbs up emoji
💡,Light Bulb,plan
🔦,Flashlight,flashlight battery
🙏,Folded Hands,appreciative
🤣,Rolling on the Floor Laughing,peak comedy moment
😊,Smiling Face with Smiling Eyes,peaceful happy face
🥳,Partying Face,party mode
🌧️,Cloud with Rain,storm weather
❄️,Snowflake,frozen water flake
🚂,Locomotive,steam train
📡,Satellite Antenna,tv antenna
🌡️,Thermometer,thermometer weather
💊,Pill,prescription drug
🚿,Shower,washing
🍔,Hamburger,hamburger
🍷,Wine Glass,glass of merlot
❄️,Snowflake,delicate ice design
🍎,Red Apple,forbidden fruit story
🥪,Sandwich,toasted bread slices
☀️,Sun,light sun
🏀,Basketball,hoop
🔥,Fire,blazing fast
🐱,Cat Face,ears
🏠,House,family house
😎,Smiling Face with Sunglasses,relaxed
⚽,Soccer Ball,goals ball
🌡️,Thermometer,sensing
💰,Money Bag,money wealth
😊,Smiling Face with Smiling Eyes,friendly greeting
✈️,Airplane,clouds
💻,Laptop,typing
😊,Smiling Face with Smiling Eyes,friendly
😂,Face with Tears of Joy,im finished
📏,Straight Ruler,wood
🌧️,Cloud with Rain,rain weather
🍎,Red Apple,apple surface
🖋️,Fountain Pen,calligraphy
🚽,Toilet,daily hygiene
🚿,Shower,hot water shower
🐶,Dog Face,barking and playing
🚗,Automobile,travel
🍰,Shortcake,layer of berries
🎾,Tennis,tennis ball
🕯️,Candle,glowing candle
💡,Light Bulb,source
✏️,Pencil,pencil yellow
🖼️,Framed Picture,painting
💡,Light Bulb,bright bulb
📚,Books,reading
📡,Satellite Antenna,satellite dish
🖋️,Fountain Pen,pen calligraphy
🔨,Hammer,wood
🍎,Red Apple,pet
📚,Books,library and study
💡,Light Bulb,spark bulb
🥪,Sandwich,slice
🎸,Guitar,electric guitar
🍦,Soft Serve,summer dessert
✏️,Pencil,pencil lead
🐱,Cat Face,cat
🛁,Bathtub,bubbles and soap
📚,Books,student life
😍,Smiling Face with Heart-Eyes,love this look
🚗,Automobile,car sedan
😭,Loudly Crying Face,feeling tragic
😍,Smiling Face with Heart-Eyes,beautiful day
🔦,Flashlight,night light
🐱,Cat Face,animal kitten
🍺,Beer Mug,pub beer
🌍,Globe Showing Europe-Africa,geography globe
🚽,Toilet,flushing
🥪,Sandwich,meal sandwich
😎,Smiling Face with Sunglasses,nothing
🔒,Locked,locked safe
🌧️,Cloud with Rain,vibes
🧬,DNA,medical dna
🧪,Test Tube,medical
❤️,Red Heart,true love
🖋️,Fountain Pen,fancy pen
📈,Chart Increasing,positive trend line
✏️,Pencil,wooden pencil
🏠,House,family
🎁,Wrapped Gift,surprise gift
🍕,Pizza,sauce pizza
😎,Smiling Face with Sunglasses,confident
🏠,House,indoor
🍔,Hamburger,beef burger
🙏,Folded Hands,please and thank you
⚽,Soccer Ball,white ball
🤔,Thinking Face,stay curious
🕯️,Candle,candle wax
🍷,Wine Glass,alcohol wine
😎,Smiling Face with Sunglasses,stylish look
🌈,Rainbow,happy
🐱,Cat Face,cat animal
✨,Sparkles,twinkling stars
☀️,Sun,morning
📸,Camera with Flash,camera
💊,Pill,taking medicine
🍦,Soft Serve,white
💔,Broken Heart,sadness
🕯️,Candle,warm candle
🌡️,Thermometer,measuring temperature
📈,Chart Increasing,profits chart
🎾,Tennis,serve and volley
🕰️,Mantelpiece Clock,time
🔦,Flashlight,beam flashlight
💰,Money Bag,rich bag
💻,Laptop,hardware
☀️,Sun,bright sky
🛁,Bathtub,relaxation bath
🎾,Tennis,tennis tour
☕,Hot Beverage,tea hot
🛁,Bathtub,relaxation spot
🧸,Teddy Bear,teddy gift
😎,Smiling Face with Sunglasses,wearing dark shades
📚,Books,school books
🔔,Bell,alert and alarm
🔑,Key,door key
🔭,Telescope,view
🙏,Folded Hands,high five
🔥,Fire,destroying the game
🕰️,Mantelpiece Clock,clock shelf
🤡,Clown Face,paint
🚪,Door,exit
🚗,Automobile,automobile
🍕,Pizza,slice
🚂,Locomotive,steam
🔥,Fire,high energy
⚽,Soccer Ball,fun
🚿,Shower,body
❄️,Snowflake,white snow
🤡,Clown Face,circus
☕,Hot Beverage,hot drink
🍺,Beer Mug,lager beer
📈,Chart Increasing,chart increasing
🚂,Locomotive,moving on iron
🧼,Soap,soap washing
🛳️,Passenger Ship,travel
🧸,Teddy Bear,toy
🍦,Soft Serve,sweet dessert
🚿,Shower,hygiene shower
🍎,Red Apple,surface apple
🐱,Cat Face,playful kitty
😴,Sleeping Face,midnight sleep
🛏️,Bed,item
📱,Mobile Phone,digital
⌛,Hourglass Done,gravity and sand
🧬,DNA,medicine
📚,Books,books piles
😂,Face with Tears of Joy,top tier joke
⚽,Soccer Ball,cup
🚿,Shower,wet shower
🚪,Door,entrance door
🔦,Flashlight,torch flashlight
🍦,Soft Serve,vanilla ice
🎾,Tennis,net and baseline
🥳,Partying Face,cheer
📍,Round Pushpin,let us meet here
🔌,Electric Plug,cord
👍,Thumbs Up,everything is okay
💰,Money Bag,wealth and prosperity
🧺,Basket,organizing
🥪,Sandwich,item sandwich
🍔,Hamburger,sandwich burger
📂,Open File Folder,filing system
🧼,Soap,water soap
😂,Face with Tears of Joy,burst out laughing
🔑,Key,house key set
🍕,Pizza,cheesy
😍,Smiling Face with Heart-Eyes,fan girlling over this
🥪,Sandwich,sandwich ham
🌧️,Cloud with Rain,wet rain
😴,Sleeping Face,dreaming in bed
⌛,Hourglass Done,waiting time
🐶,Dog Face,pet puppy
⌛,Hourglass Done,symbol
🥳,Partying Face,blowing a party horn
🔨,Hammer,tool
🔔,Bell,dinner bell
💡,Light Bulb,invention bulb
🛏️,Bed,bed dreaming
🚗,Automobile,traffic car
🔔,Bell,notification sound
🔌,Electric Plug,plug electric
📈,Chart Increasing,right direction
💔,Broken Heart,aching
🪒,Razor,blade
🚿,Shower,shower washing
🐶,Dog Face,friend
🪒,Razor,cutting
📈,Chart Increasing,growth and success
🔑,Key,success key
🕯️,Candle,scent
📓,Notebook,office notebook
🛁,Bathtub,bubbles
⌚,Watch,schedule
🥪,Sandwich,quick
🧭,Compass,explorer compass
🧹,Broom,dust
⚽,Soccer Ball,field ball
🧹,Broom,dirt
❤️,Red Heart,always and forever
🌧️,Cloud with Rain,weather
🧪,Test Tube,chemistry tube
🐶,Dog Face,furry
🍷,Wine Glass,wine dinner
😭,Loudly Crying Face,crying my eyes out
💔,Broken Heart,unrequited love
📓,Notebook,paper
🚗,Automobile,automobile car
🗺️,World Map,map study
👍,Thumbs Up,perfect
🍕,Pizza,delicious
🌧️,Cloud with Rain,plants
🙄,Face with Rolling Eyes,that is so boring
📑,Bookmark Tabs,tabs bookmark
🚗,Automobile,car garage
💊,Pill,drug
🖋️,Fountain Pen,ink flow
⌚,Watch,accessory
🤔,Thinking Face,wait a second
🔬,Microscope,microscope project
😊,Smiling Face with Smiling Eyes,kind soul
🔥,Fire,absolute heater
💊,Pill,treatment
🏮,Red Paper Lantern,red light
📱,Mobile Phone,handheld computer
📸,Camera with Flash,hobby
🕯️,Candle,burning wax light
💰,Money Bag,financial success
🏠,House,asset house
🌍,Globe Showing Europe-Africa,world
🍰,Shortcake,dessert
🌈,Rainbow,rainbow arc
🕰️,Mantelpiece Clock,living room decor
🕯️,Candle,scent and aroma
🚽,Toilet,bathroom toilet
🖼️,Framed Picture,picture art
🍔,Hamburger,sandwich
📚,Books,knowledge books
🏮,Red Paper Lantern,red light
📂,Open File Folder,open papers
🚗,Automobile,garage
😍,Smiling Face with Heart-Eyes,so pretty and perfect
⌚,Watch,schedule watch
🧺,Basket,shopping basket
🕰️,Mantelpiece Clock,classic time
💻,Laptop,coding all night
🏀,Basketball,dribbling
🥳,Partying Face,fun
🚀,Rocket,fast growth and progress
🌈,Rainbow,a sign of wonder
🎾,Tennis,tennis court
🔒,Locked,restricted
🐶,Dog Face,puppy face
☀️,Sun,shining yellow star
🧪,Test Tube,medical research
🛳️,Passenger Ship,ship luxury
🌡️,Thermometer,mercury
🙄,Face with Rolling Eyes,dismissive face
🧸,Teddy Bear,teddy toy
🍎,Red Apple,apple orchard
😍,Smiling Face with Heart-Eyes,heart eyes reaction
🎾,Tennis,slam tennis
🧹,Broom,house broom
🔑,Key,metal door key
🔬,Microscope,testing
⌛,Hourglass Done,ancient timer
🌍,Globe Showing Europe-Africa,earth
🍷,Wine Glass,relax wine
✂️,Scissors,shears
💡,Light Bulb,bright light shining
📏,Straight Ruler,geometry class
🖼️,Framed Picture,picture wall
😍,Smiling Face with Heart-Eyes,gorgeous person
🍺,Beer Mug,frothy beer foam
🔬,Microscope,equipment
🚀,Rocket,speed sky
🔑,Key,metal
🖼️,Framed Picture,hanging
💻,Laptop,keyboard laptop
🖋️,Fountain Pen,professional pen
🕯️,Candle,melting
🥳,Partying Face,celebration
🧺,Basket,goods
❤️,Red Heart,sending hugs
💊,Pill,feeling better soon
🔬,Microscope,cells
☕,Hot Beverage,relax hot
❤️,Red Heart,romantic mood
🚽,Toilet,plumbing and water
🔋,Battery,charging
🖋️,Fountain Pen,fancy stationary
🗺️,World Map,world map
❤️,Red Heart,my heart is full
☕,Hot Beverage,drink beverage
😭,Loudly Crying Face,feeling lonely
🌈,Rainbow,after the rain
🎾,Tennis,match
✏️,Pencil,pencil office
🌧️,Cloud with Rain,rainy
🧺,Basket,material
🚲,Bicycle,bike exercise
🙏,Folded Hands,blessed day
🤔,Thinking Face,philosophical thought
💡,Light Bulb,electric bulb
🌡️,Thermometer,climate tool
🕯️,Candle,candle flame
😎,Smiling Face with Sunglasses,energy
🙄,Face with Rolling Eyes,are you serious
🔌,Electric Plug,outlet plug
🧭,Compass,navigation compass
📂,Open File Folder,folder data
👍,Thumbs Up,confirm
🍕,Pizza,dinner pizza
🚽,Toilet,private room
📚,Books,read books
🌍,Globe Showing Europe-Africa,geography
🎈,Balloon,festive
❄️,Snowflake,water
🎁,Wrapped Gift,opening a present
⌛,Hourglass Done,glass timer
🤔,Thinking Face,contemplating
🚂,Locomotive,engine
🧺,Basket,home
🌈,Rainbow,spectrum
🔨,Hammer,wood working tool
🧪,Test Tube,research
😂,Face with Tears of Joy,best joke of the day
✈️,Airplane,sky travel
🧼,Soap,soap bathroom
🍺,Beer Mug,lager
🎁,Wrapped Gift,delivery
🍰,Shortcake,sugar cake
🚲,Bicycle,road
🔔,Bell,bell alarm
😊,Smiling Face with Smiling Eyes,peace
🔔,Bell,school
🗺️,World Map,trip
🚲,Bicycle,travel
❤️,Red Heart,romantic feeling for you
⚽,Soccer Ball,black ball
🧼,Soap,bar
🔬,Microscope,study
✂️,Scissors,paper scissors
☀️,Sun,glow
🚂,Locomotive,freight
🍕,Pizza,dinner
🏀,Basketball,hoop game
🚿,Shower,bathroom shower
🔌,Electric Plug,plug cable
🔔,Bell,attention
🚪,Door,portal to house
🎁,Wrapped Gift,gesture
🍷,Wine Glass,dinner
✨,Sparkles,sparkles everywhere
😊,Smiling Face with Smiling Eyes,cheerful mood
🏮,Red Paper Lantern,paper lantern
☀️,Sun,sunny day
✏️,Pencil,creative art tool
🧪,Test Tube,tube
⌛,Hourglass Done,hourglass timer
🔨,Hammer,hammer renovation
🕰️,Mantelpiece Clock,ticking clock
😭,Loudly Crying Face,pure sadness
🔨,Hammer,head
📂,Open File Folder,records folder
📑,Bookmark Tabs,tabs
🌡️,Thermometer,temperature
☀️,Sun,summer
🎁,Wrapped Gift,package gift
🎸,Guitar,loud
✨,Sparkles,glow
🚂,Locomotive,railway train
🎁,Wrapped Gift,gift reward
🧺,Basket,basket storage
🤣,Rolling on the Floor Laughing,hysterical laughter
⚽,Soccer Ball,team ball
🗺️,World Map,map
🖼️,Framed Picture,artwork frame
🔨,Hammer,manual labor
🧼,Soap,bar of soap
💔,Broken Heart,love
🍎,Red Apple,apple snack
🔥,Fire,burning up
🔥,Fire,looking sharp
🥪,Sandwich,food
🐶,Dog Face,furry dog
🍷,Wine Glass,merlot
🌈,Rainbow,color
📡,Satellite Antenna,satellite signal
📓,Notebook,notebook diary
🛁,Bathtub,bath soak
🍎,Red Apple,healthy eating habits
🛋️,Couch and Lamp,sofa relaxing
🔦,Flashlight,battery
🥳,Partying Face,party vibes
🐱,Cat Face,food
😂,Face with Tears of Joy,comedy central
🌍,Globe Showing Europe-Africa,saving the planet
🔨,Hammer,tool for home
🍺,Beer Mug,cheers with friends
📑,Bookmark Tabs,library tool
🥳,Partying Face,let us celebrate tonight
🍔,Hamburger,dinner burger
🧹,Broom,flight
🪒,Razor,metal safety razor
🔔,Bell,bell
📂,Open File Folder,open folder
🔨,Hammer,wood hammer
🏀,Basketball,bouncing the ball
🍰,Shortcake,bakery
🛋️,Couch and Lamp,sofa
🔥,Fire,fire emoji
🔋,Battery,electrical storage
🤔,Thinking Face,wondering aloud
🚿,Shower,hygiene
🎸,Guitar,guitar music
🔦,Flashlight,emergency
🤡,Clown Face,creepy
❄️,Snowflake,water snow
🔌,Electric Plug,plug wire
🔋,Battery,battery device
🧪,Test Tube,tube chemistry
⌚,Watch,formal
📸,Camera with Flash,flash camera
🚪,Door,handle and hinges
🍰,Shortcake,food cake
📂,Open File Folder,folder
🔨,Hammer,hammer construction
🤔,Thinking Face,unsure about this
🕰️,Mantelpiece Clock,ticking
💔,Broken Heart,aching heart
🔔,Bell,sound bell
✨,Sparkles,glittering
💀,Skull,end of time
📡,Satellite Antenna,antenna
🖋️,Fountain Pen,metal pen
📑,Bookmark Tabs,markers
🏀,Basketball,ball
🚿,Shower,cleaning yourself
🍰,Shortcake,cake slice
😎,Smiling Face with Sunglasses,keeping chill
😭,Loudly Crying Face,crying hard
❄️,Snowflake,wonderland
📂,Open File Folder,work organization
🚗,Automobile,motor
📱,Mobile Phone,digital communication
📑,Bookmark Tabs,sticky tabs
🔨,Hammer,hammer wood
🔨,Hammer,nail
📓,Notebook,taking minutes
📡,Satellite Antenna,antenna communication
🧭,Compass,navigation
🌧️,Cloud with Rain,cloud
🥪,Sandwich,quick tasty lunch
🏀,Basketball,team game
🏮,Red Paper Lantern,festive light
🚀,Rocket,ambitious
🛳️,Passenger Ship,ship boat
🧸,Teddy Bear,child teddy
🙄,Face with Rolling Eyes,whatever you say
🔋,Battery,alkaline battery
🔌,Electric Plug,cable plug
🏀,Basketball,basketball sports
😍,Smiling Face with Heart-Eyes,falling for you
📚,Books,academic research
❤️,Red Heart,classic red heart shape
🙄,Face with Rolling Eyes,dismissive look
💀,Skull,extremely tired
🙄,Face with Rolling Eyes,eye roll
😭,Loudly Crying Face,waterfalls of tears
💀,Skull,inside
😎,Smiling Face with Sunglasses,smooth and relaxed vibe
🍎,Red Apple,fiber
🛳️,Passenger Ship,hotel
🛁,Bathtub,wash bath
🧸,Teddy Bear,fur
🔥,Fire,lit af
💡,Light Bulb,plan bulb
🛳️,Passenger Ship,vessel
📓,Notebook,spiral bound
🕰️,Mantelpiece Clock,vintage style
⚽,Soccer Ball,soccer game
📂,Open File Folder,digital files
😍,Smiling Face with Heart-Eyes,beautiful eyes
🧪,Test Tube,test chemistry
📚,Books,books reading
🍺,Beer Mug,alcohol
🐱,Cat Face,kitten face
🗺️,World Map,map navigation
🏮,Red Paper Lantern,paper lantern
🚗,Automobile,daily driving
🎸,Guitar,song
👍,Thumbs Up,i approve of this
🌈,Rainbow,bright
📱,Mobile Phone,pocket phone
✏️,Pencil,graphite
🕰️,Mantelpiece Clock,vintage clock
🖋️,Fountain Pen,pen writing
✈️,Airplane,plane
🛁,Bathtub,relaxation
❄️,Snowflake,chilly outdoor temp
🤡,Clown Face,joking face
🍦,Soft Serve,frozen dessert
💔,Broken Heart,heavy sadness
👍,Thumbs Up,confirm the message
📚,Books,covers
🍕,Pizza,party
🚪,Door,hinges
🛏️,Bed,comfortable sleep
🧭,Compass,directional compass
🕰️,Mantelpiece Clock,antique time
📓,Notebook,write notes
🛁,Bathtub,cleaning time
😍,Smiling Face with Heart-Eyes,heart eyes
👍,Thumbs Up,nice
🐶,Dog Face,loyal puppy
🕰️,Mantelpiece Clock,shelf clock
📱,Mobile Phone,modern technology
🛳️,Passenger Ship,crossing the sea
🚀,Rocket,moon launch
🔬,Microscope,microscope
☀️,Sun,clear blue sky
🕰️,Mantelpiece Clock,mantel clock
🐶,Dog Face,breed puppy
📸,Camera with Flash,snapping a shot
🧹,Broom,broom witch
🚗,Automobile,vehicle
📱,Mobile Phone,modern phone
📸,Camera with Flash,snapping
🐱,Cat Face,animal with claws
💡,Light Bulb,bright
📈,Chart Increasing,scaling to the top
✨,Sparkles,shimmer
🐱,Cat Face,curious
🍕,Pizza,pie pizza
📱,Mobile Phone,app phone
🔋,Battery,energy battery
🥗,Green Salad,salad green
📸,Camera with Flash,photo memories
✂️,Scissors,snipping with tool
🎈,Balloon,red
🌡️,Thermometer,thermometer digital
🌧️,Cloud with Rain,sky
🌧️,Cloud with Rain,falling
📈,Chart Increasing,progress chart
🔒,Locked,padlock
🧼,Soap,scented soap
🔑,Key,building key
⚽,Soccer Ball,soccer goals
💊,Pill,small drug pill
🔥,Fire,something is burning hot
🍎,Red Apple,red apple
📂,Open File Folder,project folder
📏,Straight Ruler,math ruler
📍,Round Pushpin,tracking mark
🧬,DNA,genes dna
🎾,Tennis,professional tennis tour
😭,Loudly Crying Face,crying time
🤡,Clown Face,fool
🧼,Soap,staying clean
🌈,Rainbow,symbol of peace
🔦,Flashlight,camping gear
📈,Chart Increasing,direction chart
🚪,Door,sign
🚂,Locomotive,locomotive
📓,Notebook,supply
🤡,Clown Face,creepy vibes
🛋️,Couch and Lamp,furniture couch
⚽,Soccer Ball,kicking the ball
📍,Round Pushpin,meet
🎸,Guitar,music
📂,Open File Folder,folder storage
✂️,Scissors,sharp
🏀,Basketball,team sports fun
✨,Sparkles,beautiful sparkling lights
🙄,Face with Rolling Eyes,so tired
✂️,Scissors,cutting paper
🙏,Folded Hands,thank you
🔥,Fire,scorching hot
💔,Broken Heart,feeling very heartbroken
😊,Smiling Face with Smiling Eyes,pleasant and cheerful mood
🎁,Wrapped Gift,gift holiday
🔬,Microscope,analysis
📡,Satellite Antenna,communication antenna
🧸,Teddy Bear,bear
✨,Sparkles,stars
🐶,Dog Face,cute puppy ears
🕰️,Mantelpiece Clock,keeping time
🎁,Wrapped Gift,surprise
🤣,Rolling on the Floor Laughing,laughing
🍎,Red Apple,orchard
🏮,Red Paper Lantern,paper red
🍕,Pizza,favorite
📍,Round Pushpin,specific place
🥗,Green Salad,salad with dressing
🏮,Red Paper Lantern,holiday
🔒,Locked,privacy
🖼️,Framed Picture,decoration frame
📱,Mobile Phone,gadget
🤔,Thinking Face,deep logic
🍕,Pizza,pizza
📚,Books,books education
🚲,Bicycle,mountain or road
✂️,Scissors,craft
🐶,Dog Face,dog furry
🍰,Shortcake,fluffy
📡,Satellite Antenna,satellite
💻,Laptop,life
🍷,Wine Glass,drink
☀️,Sun,sunny weather
🍦,Soft Serve,ice cream cone
✂️,Scissors,sewing scissors
🔒,Locked,locked lock
🛋️,Couch and Lamp,couch design
📓,Notebook,diary
🐱,Cat Face,animal
🔒,Locked,private
📏,Straight Ruler,school math tool
🔭,Telescope,observatory
🌧️,Cloud with Rain,storm and clouds
🐱,Cat Face,pointy cat ears
✂️,Scissors,metal blades
🧪,Test Tube,mixing
⌛,Hourglass Done,end
📈,Chart Increasing,moving in right direction
🏠,House,safe house
🌧️,Cloud with Rain,rainy weather
🚽,Toilet,toilet bowl
🕯️,Candle,wax
😂,Face with Tears of Joy,funny meme
🛳️,Passenger Ship,ship ocean
💊,Pill,doctor's advice
🪒,Razor,barber
🌍,Globe Showing Europe-Africa,globe earth
😴,Sleeping Face,midnight face
🛳️,Passenger Ship,travel by sea
🐱,Cat Face,claws
🎾,Tennis,yellow
🌡️,Thermometer,weather
🍰,Shortcake,pastry cake
💡,Light Bulb,glass bulb
📡,Satellite Antenna,broadcast
🔬,Microscope,laboratory equipment
⌛,Hourglass Done,waiting
🏀,Basketball,team fun
🍎,Red Apple,vitamins and fiber
🏮,Red Paper Lantern,lantern red
😂,Face with Tears of Joy,laughing non stop
🔥,Fire,trending now
😴,Sleeping Face,snoring
🎈,Balloon,shape
🍰,Shortcake,bakery fresh cake
🛁,Bathtub,water bath
📏,Straight Ruler,straight ruler
🍎,Red Apple,surface
🔋,Battery,alkaline battery
☀️,Sun,warmth sun
🖼️,Framed Picture,picture frame
💀,Skull,dead tired
✈️,Airplane,sky high travel
😭,Loudly Crying Face,i can't stop weeping
😊,Smiling Face with Smiling Eyes,friendly greeting for you
🤣,Rolling on the Floor Laughing,peak comedy
✈️,Airplane,jet
🛋️,Couch and Lamp,lounge couch
😭,Loudly Crying Face,absolute grief
☕,Hot Beverage,coffee
🐱,Cat Face,curious feline face
🍎,Red Apple,apple eating
📈,Chart Increasing,stock
📸,Camera with Flash,capturing
⚽,Soccer Ball,kicking
🌡️,Thermometer,weather heat
⌚,Watch,smart device
🌍,Globe Showing Europe-Africa,saving
💔,Broken Heart,shattered heart
🚽,Toilet,water toilet
📡,Satellite Antenna,technology link
🛋️,Couch and Lamp,tv
🎸,Guitar,chords
🔦,Flashlight,handheld light
🛋️,Couch and Lamp,cushions
🧹,Broom,cleaning tool
🏀,Basketball,dribbling ball
🚿,Shower,wet
✏️,Pencil,pencil drawing
🌧️,Cloud with Rain,outside
😴,Sleeping Face,resting
🛏️,Bed,mattress
🎁,Wrapped Gift,birthday
🧪,Test Tube,tube liquid
🔭,Telescope,telescope
⌚,Watch,watch device
🛏️,Bed,pillow bed
😊,Smiling Face with Smiling Eyes,smiling eyes
😍,Smiling Face with Heart-Eyes,i absolutely adore this
📈,Chart Increasing,profits are rising
💰,Money Bag,profit and earnings
🔌,Electric Plug,charging
🚂,Locomotive,engine locomotive
🔦,Flashlight,flashlight bright
